.chain,.iteration,.draw,hoop,.value,param,group
1,1,1,near,-0.592804,b,prior
1,2,2,near,-2.31555,b,prior
1,3,3,near,-2.34736,b,prior
1,4,4,near,-2.55015,b,prior
1,5,5,near,-0.235263,b,prior
1,6,6,near,-0.223969,b,prior
1,7,7,near,-1.95528,b,prior
1,8,8,near,-1.55975,b,prior
1,9,9,near,-1.96922,b,prior
1,10,10,near,-0.433775,b,prior
1,11,11,near,-2.65517,b,prior
1,12,12,near,0.134535,b,prior
1,13,13,near,-3.04193,b,prior
1,14,14,near,-0.293585,b,prior
1,15,15,near,-2.6436,b,prior
1,16,16,near,-3.88361,b,prior
1,17,17,near,0.982081,b,prior
1,18,18,near,-4.38772,b,prior
1,19,19,near,-0.106014,b,prior
1,20,20,near,-2.60716,b,prior
1,21,21,near,-2.85335,b,prior
1,22,22,near,-4.26256,b,prior
1,23,23,near,0.707737,b,prior
1,24,24,near,-3.64848,b,prior
1,25,25,near,-3.35009,b,prior
1,26,26,near,-4.14748,b,prior
1,27,27,near,1.05085,b,prior
1,28,28,near,-3.66999,b,prior
1,29,29,near,0.769579,b,prior
1,30,30,near,-3.76402,b,prior
1,31,31,near,1.32658,b,prior
1,32,32,near,-0.514799,b,prior
1,33,33,near,-2.45777,b,prior
1,34,34,near,-0.654447,b,prior
1,35,35,near,-2.08312,b,prior
1,36,36,near,-1.3436,b,prior
1,37,37,near,-1.91088,b,prior
1,38,38,near,-1.19085,b,prior
1,39,39,near,-2.04743,b,prior
1,40,40,near,-0.829366,b,prior
1,41,41,near,-0.203486,b,prior
1,42,42,near,-0.459243,b,prior
1,43,43,near,-1.96512,b,prior
1,44,44,near,-1.73143,b,prior
1,45,45,near,-1.15737,b,prior
1,46,46,near,-1.66237,b,prior
1,47,47,near,-1.41348,b,prior
1,48,48,near,-2.16352,b,prior
1,49,49,near,-2.50505,b,prior
1,50,50,near,-2.44623,b,prior
1,51,51,near,-2.98655,b,prior
1,52,52,near,0.586128,b,prior
1,53,53,near,-3.09024,b,prior
1,54,54,near,-0.797357,b,prior
1,55,55,near,-1.7559,b,prior
1,56,56,near,-2.50931,b,prior
1,57,57,near,-0.702133,b,prior
1,58,58,near,-1.61381,b,prior
1,59,59,near,0.114004,b,prior
1,60,60,near,-2.66433,b,prior
1,61,61,near,-1.16194,b,prior
1,62,62,near,0.344708,b,prior
1,63,63,near,-3.41972,b,prior
1,64,64,near,0.0905351,b,prior
1,65,65,near,-3.15251,b,prior
1,66,66,near,-0.111014,b,prior
1,67,67,near,-3.03581,b,prior
1,68,68,near,-2.47364,b,prior
1,69,69,near,-1.1264,b,prior
1,70,70,near,-2.97842,b,prior
1,71,71,near,-0.0505729,b,prior
1,72,72,near,-3.69062,b,prior
1,73,73,near,0.087946,b,prior
1,74,74,near,-2.40753,b,prior
1,75,75,near,-0.982432,b,prior
1,76,76,near,-2.1786,b,prior
1,77,77,near,-1.09317,b,prior
1,78,78,near,-1.28602,b,prior
1,79,79,near,-0.72333,b,prior
1,80,80,near,-0.850669,b,prior
1,81,81,near,-2.44702,b,prior
1,82,82,near,-0.316178,b,prior
1,83,83,near,-0.898176,b,prior
1,84,84,near,-2.50506,b,prior
1,85,85,near,-2.13333,b,prior
1,86,86,near,-1.33595,b,prior
1,87,87,near,-1.4682,b,prior
1,88,88,near,-1.19298,b,prior
1,89,89,near,-0.834368,b,prior
1,90,90,near,-2.90855,b,prior
1,91,91,near,0.00346773,b,prior
1,92,92,near,-0.992225,b,prior
1,93,93,near,0.131403,b,prior
1,94,94,near,-3.13765,b,prior
1,95,95,near,-0.00118075,b,prior
1,96,96,near,-2.96457,b,prior
1,97,97,near,-0.0132302,b,prior
1,98,98,near,-0.60363,b,prior
1,99,99,near,-1.53298,b,prior
1,100,100,near,-1.88465,b,prior
1,101,101,near,-1.88465,b,prior
1,102,102,near,-0.712639,b,prior
1,103,103,near,-1.80084,b,prior
1,104,104,near,-1.29936,b,prior
1,105,105,near,-2.03395,b,prior
1,106,106,near,-1.05081,b,prior
1,107,107,near,-0.606636,b,prior
1,108,108,near,-1.01633,b,prior
1,109,109,near,-1.62737,b,prior
1,110,110,near,-2.6107,b,prior
1,111,111,near,-0.589589,b,prior
1,112,112,near,-2.53376,b,prior
1,113,113,near,0.00659276,b,prior
1,114,114,near,-0.399366,b,prior
1,115,115,near,-2.63192,b,prior
1,116,116,near,-0.785773,b,prior
1,117,117,near,-2.25626,b,prior
1,118,118,near,-2.66418,b,prior
1,119,119,near,0.213223,b,prior
1,120,120,near,-3.14497,b,prior
1,121,121,near,-0.631418,b,prior
1,122,122,near,-0.434967,b,prior
1,123,123,near,-2.53973,b,prior
1,124,124,near,-0.517374,b,prior
1,125,125,near,-2.65004,b,prior
1,126,126,near,-0.840198,b,prior
1,127,127,near,-2.335,b,prior
1,128,128,near,-0.462462,b,prior
1,129,129,near,-0.0631543,b,prior
1,130,130,near,-2.9382,b,prior
1,131,131,near,-1.7889,b,prior
1,132,132,near,-1.63712,b,prior
1,133,133,near,-1.28314,b,prior
1,134,134,near,-1.7361,b,prior
1,135,135,near,-1.30731,b,prior
1,136,136,near,-1.50264,b,prior
1,137,137,near,-1.22224,b,prior
