"participant"	"condition"	"Centre_first_-4_Actual"	"Centre_first_-3_Actual"	"Centre_first_-2_Actual"	"Centre_first_-1_Actual"	"Centre_first_0_Actual"	"Centre_first_1_Actual"	"Centre_first_2_Actual"	"Centre_first_3_Actual"	"Centre_first_4_Actual"	"Centre_second_-4_Actual"	"Centre_second_-3_Actual"	"Centre_second_-2_Actual"	"Centre_second_-1_Actual"	"Centre_second_0_Actual"	"Centre_second_1_Actual"	"Centre_second_2_Actual"	"Centre_second_3_Actual"	"Centre_second_4_Actual"	"Side_first_-4_Actual"	"Side_first_-3_Actual"	"Side_first_-2_Actual"	"Side_first_-1_Actual"	"Side_first_0_Actual"	"Side_first_1_Actual"	"Side_first_2_Actual"	"Side_first_3_Actual"	"Side_first_4_Actual"	"Side_second_-4_Actual"	"Side_second_-3_Actual"	"Side_second_-2_Actual"	"Side_second_-1_Actual"	"Side_second_0_Actual"	"Side_second_1_Actual"	"Side_second_2_Actual"	"Side_second_3_Actual"	"Side_second_4_Actual"
"10"	"No_instructions"	0.714285714285714	0.696969696969697	0.75	0.71875	0.857142857142857	0.742857142857143	0.787878787878788	0.914285714285714	0.861111111111111	0.942857142857143	0.891891891891892	0.945945945945946	0.903225806451613	0.944444444444444	0.833333333333333	0.870967741935484	0.794117647058823	0.75	0.285714285714286	0.303030303030303	0.25	0.28125	0.142857142857143	0.257142857142857	0.212121212121212	0.0857142857142857	0.138888888888889	0.0571428571428572	0.108108108108108	0.0540540540540541	0.0967741935483871	0.0555555555555556	0.166666666666667	0.129032258064516	0.205882352941177	0.25
"11"	"Instructions"	1	1	1	1	0	0	0	0	0	0.0333333333333333	0.0571428571428571	0	0.0555555555555556	0.0526315789473684	0	0	0	0.0769230769230769	0	0	0	0	1	1	1	1	1	0.966666666666667	0.942857142857143	1	0.944444444444444	0.947368421052632	1	1	1	0.923076923076923
"12"	"No_instructions"	0.625	0.387096774193548	0.478260869565217	0.586206896551724	0.565217391304348	0.354838709677419	0.333333333333333	0.586206896551724	0.823529411764706	0.65	0.458333333333333	0.344827586206897	0.227272727272727	0.448275862068966	0.517241379310345	0.433333333333333	0.454545454545455	0.366666666666667	0.375	0.612903225806452	0.521739130434783	0.413793103448276	0.434782608695652	0.645161290322581	0.666666666666667	0.413793103448276	0.176470588235294	0.35	0.541666666666667	0.655172413793103	0.772727272727273	0.551724137931034	0.482758620689655	0.566666666666667	0.545454545454545	0.633333333333333
"13"	"Instructions"	1	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
"14"	"No_instructions"	0.0384615384615385	0	0	0	0.0303030303030303	0.0714285714285714	0.0588235294117647	0.0303030303030303	0.037037037037037	0	0	0	0	0	0	0	0	0	0.961538461538462	1	1	1	0.96969696969697	0.928571428571429	0.941176470588235	0.96969696969697	0.962962962962963	1	1	1	1	1	1	1	1	1
"15"	"Instructions"	1	1	1	1	0	0	0	0	0	0.925925925925926	0.909090909090909	0.848484848484849	0.964285714285714	0.833333333333333	0.633333333333333	0.793103448275862	0.769230769230769	0.962962962962963	0	0	0	0	1	1	1	1	1	0.0740740740740741	0.0909090909090909	0.151515151515151	0.0357142857142857	0.166666666666667	0.366666666666667	0.206896551724138	0.230769230769231	0.0370370370370371
"16"	"No_instructions"	0.206896551724138	0.2	0.09375	0.137931034482759	0.193548387096774	0.259259259259259	0.233333333333333	0.264705882352941	0.535714285714286	0	0.0625	0	0.0303030303030303	0.0303030303030303	0.0625	0.0909090909090909	0.0571428571428571	0.0588235294117647	0.793103448275862	0.8	0.90625	0.862068965517241	0.806451612903226	0.740740740740741	0.766666666666667	0.735294117647059	0.464285714285714	1	0.9375	1	0.96969696969697	0.96969696969697	0.9375	0.909090909090909	0.942857142857143	0.941176470588235
"17"	"Instructions"	1	1	1	1	0	0	0	0	0	0.945945945945946	0.973684210526316	0.894736842105263	0.970588235294118	0.837837837837838	0.916666666666667	0.833333333333333	0.805555555555556	0.833333333333333	0	0	0	0	1	1	1	1	1	0.0540540540540541	0.0263157894736842	0.105263157894737	0.0294117647058824	0.162162162162162	0.0833333333333334	0.166666666666667	0.194444444444444	0.166666666666667
"18"	"No_instructions"	0.323529411764706	0.361111111111111	0.46875	0.285714285714286	0.1875	0.25	0.454545454545455	0.361111111111111	0.545454545454545	0.388888888888889	0.513513513513513	0.558823529411765	0.484848484848485	0.578947368421053	0.567567567567568	0.294117647058824	0.65625	0.705882352941177	0.676470588235294	0.638888888888889	0.53125	0.714285714285714	0.8125	0.75	0.545454545454545	0.638888888888889	0.454545454545455	0.611111111111111	0.486486486486487	0.441176470588235	0.515151515151515	0.421052631578947	0.432432432432432	0.705882352941176	0.34375	0.294117647058823
"19"	"Instructions"	1	1	1	1	0	0	0	0	0	1	0.971428571428571	0.941176470588235	0.918918918918919	0.911764705882353	0.710526315789474	0.694444444444444	0.756756756756757	0.527777777777778	0	0	0	0	1	1	1	1	1	0	0.0285714285714286	0.0588235294117647	0.081081081081081	0.0882352941176471	0.289473684210526	0.305555555555556	0.243243243243243	0.472222222222222
