"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"Accuracy"	"acc_type"
"1"	1	"first"	-3	"-3"	-3.22203821588321	"No_instructions"	0.919765780470747	"Expected"
"2"	1	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.892574960835028	"Expected"
"3"	1	"first"	-1	"-1"	-1.06413040966505	"No_instructions"	0.845223817817857	"Expected"
"4"	1	"first"	-0.5	"284"	-0.516874694255169	"No_instructions"	0.800877167276807	"Expected"
"5"	1	"first"	0	"0"	0	"No_instructions"	0.759642635332476	"Expected"
"6"	1	"first"	1	"1"	1.09453231215461	"No_instructions"	0.6671352339457	"Expected"
"7"	1	"first"	2	"2"	2.15847128479618	"No_instructions"	0.596659044833344	"Expected"
"8"	1	"first"	3	"3"	3.2524185571131	"No_instructions"	0.535448861553714	"Expected"
"9"	1	"first"	4	"640"	10.2794970268896	"No_instructions"	0.534722222533579	"Expected"
"10"	1	"second"	-3	"-3"	-3.22203821588321	"No_instructions"	0.974090830221385	"Expected"
"11"	1	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.93244903918842	"Expected"
"12"	1	"second"	-1	"-1"	-1.06413040966505	"No_instructions"	0.870102112563063	"Expected"
"13"	1	"second"	-0.5	"284"	-0.516874694255169	"No_instructions"	0.813935402356268	"Expected"
"14"	1	"second"	0	"0"	0	"No_instructions"	0.760624755597821	"Expected"
"15"	1	"second"	1	"1"	1.09453231215461	"No_instructions"	0.657042730387804	"Expected"
"16"	1	"second"	2	"2"	2.15847128479618	"No_instructions"	0.580487852290955	"Expected"
"17"	1	"second"	3	"3"	3.2524185571131	"No_instructions"	0.563648138022298	"Expected"
"18"	1	"second"	4	"640"	10.2794970268896	"No_instructions"	0.562500000271182	"Expected"
"19"	2	"first"	-3	"-3"	-3.22203821588321	"Instructions"	0.999937104377724	"Expected"
"20"	2	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.997055853143447	"Expected"
"21"	2	"first"	-1	"-1"	-1.06413040966505	"Instructions"	0.9552846851797	"Expected"
"22"	2	"first"	0	"0"	0	"Instructions"	0.790097998885094	"Expected"
"23"	2	"first"	1	"1"	1.09453231215461	"Instructions"	0.75	"Expected"
"24"	2	"first"	2	"2"	2.1888649458271	"Instructions"	0.75	"Expected"
"25"	2	"first"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"26"	2	"first"	3.5	"284"	3.34355681980247	"Instructions"	0.75	"Expected"
"27"	2	"first"	4	"640"	14.0969967460437	"Instructions"	0.75	"Expected"
"28"	2	"second"	-3	"-3"	-3.22203821588321	"Instructions"	0.758331236812591	"Expected"
"29"	2	"second"	-2	"-2"	-2.15847128479618	"Instructions"	0.764117477322483	"Expected"
"30"	2	"second"	-1	"-1"	-1.06413040966505	"Instructions"	0.75	"Expected"
"31"	2	"second"	0	"0"	0	"Instructions"	0.752227666604728	"Expected"
"32"	2	"second"	1	"1"	1.09453231215461	"Instructions"	0.741197348566714	"Expected"
"33"	2	"second"	2	"2"	2.1888649458271	"Instructions"	0.75	"Expected"
"34"	2	"second"	3	"3"	3.2524185571131	"Instructions"	0.75	"Expected"
"35"	2	"second"	3.5	"284"	3.34355681980247	"Instructions"	0.75	"Expected"
"36"	2	"second"	4	"640"	14.0969967460437	"Instructions"	0.730769230769231	"Expected"
