participant,group,block,sep,fixated,correct
10,no instruction,1,301,1,0
10,no instruction,1,195,3,NA
10,no instruction,1,372,3,NA
10,no instruction,1,640,1,NA
10,no instruction,1,230,1,NA
10,no instruction,1,195,3,NA
10,no instruction,1,372,1,0
10,no instruction,1,266,3,1
10,no instruction,1,301,2,1
10,no instruction,1,230,1,1
10,no instruction,1,640,1,0
10,no instruction,1,284,3,NA
10,no instruction,1,195,1,1
10,no instruction,1,284,1,0
10,no instruction,1,284,1,1
10,no instruction,1,195,1,1
10,no instruction,1,230,1,1
10,no instruction,1,230,1,1
10,no instruction,1,266,1,NA
10,no instruction,1,337,1,0
10,no instruction,1,284,2,1
10,no instruction,1,372,2,1
10,no instruction,1,372,1,1
10,no instruction,1,266,1,1
10,no instruction,1,408,1,0
10,no instruction,1,266,2,1
10,no instruction,1,284,2,1
10,no instruction,1,408,1,0
10,no instruction,1,195,1,1
10,no instruction,1,372,1,1
10,no instruction,1,408,1,0
10,no instruction,1,301,1,1
10,no instruction,1,230,3,NA
10,no instruction,1,301,1,1
10,no instruction,1,284,1,1
10,no instruction,1,230,2,0
10,no instruction,1,266,1,1
10,no instruction,1,408,1,1
10,no instruction,1,284,3,1
10,no instruction,1,640,1,0
10,no instruction,1,230,1,1
10,no instruction,1,266,3,NA
10,no instruction,1,640,1,1
10,no instruction,1,301,1,1
10,no instruction,1,301,1,1
10,no instruction,1,640,2,1
10,no instruction,1,408,1,1
10,no instruction,1,337,1,NA
10,no instruction,1,266,1,1
10,no instruction,1,337,3,1
10,no instruction,1,640,2,1
10,no instruction,1,301,1,1
10,no instruction,1,640,2,1
10,no instruction,1,372,3,NA
10,no instruction,1,337,1,0
10,no instruction,1,640,2,1
10,no instruction,1,337,2,1
10,no instruction,1,337,2,0
10,no instruction,1,337,1,1
10,no instruction,1,372,1,1
10,no instruction,1,266,3,NA
10,no instruction,1,337,1,1
10,no instruction,1,195,2,0
10,no instruction,1,195,1,1
10,no instruction,1,408,1,1
10,no instruction,1,266,2,1
10,no instruction,1,284,1,NA
10,no instruction,1,372,1,NA
10,no instruction,1,230,1,1
10,no instruction,1,337,1,1
10,no instruction,1,372,2,1
10,no instruction,1,284,3,NA
10,no instruction,1,301,3,0
10,no instruction,1,408,1,1
10,no instruction,1,640,1,1
10,no instruction,1,372,2,1
10,no instruction,1,301,1,1
10,no instruction,1,408,2,1
10,no instruction,1,408,1,1
10,no instruction,1,230,3,0
10,no instruction,1,640,1,0
10,no instruction,1,195,2,1
10,no instruction,1,195,2,1
10,no instruction,1,408,1,0
10,no instruction,1,337,2,1
10,no instruction,1,195,2,0
10,no instruction,1,266,1,1
10,no instruction,1,230,2,1
10,no instruction,1,301,1,1
10,no instruction,1,284,3,1
10,no instruction,1,372,1,1
10,no instruction,1,301,1,1
10,no instruction,1,372,2,1
10,no instruction,1,337,1,0
10,no instruction,1,337,2,0
10,no instruction,1,301,1,1
10,no instruction,1,266,3,1
10,no instruction,1,230,1,1
10,no instruction,1,408,1,0
10,no instruction,1,230,2,0
10,no instruction,1,284,3,1
10,no instruction,1,266,3,0
