Participant,Trial,Colour,Direction,StandingPos,Accuracy,R,Y,B
AH,1,B,S,-16,0,5,7,17
AH,2,R,S,0,1,5,7,17
AH,3,Y,N,0,1,5,7,17
AH,4,B,N,-16,1,5,7,17
AH,5,Y,N,0,1,5,7,17
AH,6,Y,S,0,1,5,7,17
AH,7,R,S,0,1,5,7,17
AH,8,B,S,-16,0,5,7,17
AH,9,R,N,0,1,5,7,17
AH,10,R,S,0,0,5,7,17
AH,11,Y,S,0,1,5,7,17
AH,12,B,S,16,1,5,7,17
AH,13,Y,S,0,1,5,7,17
AH,14,Y,N,0,1,5,7,17
AH,15,R,S,0,1,5,7,17
AH,16,B,N,-16,1,5,7,17
AH,17,R,N,0,1,5,7,17
AH,18,B,N,-16,1,5,7,17
AH,19,R,N,0,1,5,7,17
AH,20,R,N,0,1,5,7,17
AH,21,Y,S,0,1,5,7,17
AH,22,Y,N,0,0,5,7,17
AH,23,Y,S,0,1,5,7,17
AH,24,B,S,-16,0,5,7,17
AH,25,R,S,0,1,5,7,17
AH,26,B,N,-16,1,5,7,17
AH,27,B,N,-16,1,5,7,17
AH,28,R,N,0,1,5,7,17
AH,29,R,S,0,1,5,7,17
AH,30,Y,S,0,1,5,7,17
AH,31,B,S,-16,0,5,7,17
AH,32,B,S,-16,0,5,7,17
AH,33,B,N,-16,1,5,7,17
AH,34,Y,S,0,1,5,7,17
AH,35,R,N,0,1,5,7,17
AH,36,Y,S,0,0,5,7,17
AH,37,Y,N,0,0,5,7,17
AH,38,B,S,-16,0,5,7,17
AH,39,R,S,0,1,5,7,17
AH,40,R,N,0,1,5,7,17
AH,41,B,S,-16,0,5,7,17
AH,42,B,N,-16,1,5,7,17
AH,43,Y,S,0,1,5,7,17
AH,44,Y,N,0,1,5,7,17
AH,45,R,S,0,1,5,7,17
AH,1,B,S,-21,0,8,13,22
AH,2,R,N,0,1,8,13,22
AH,3,B,N,-21,1,8,13,22
AH,4,Y,S,-12,0,8,13,22
AH,5,Y,S,-12,0,8,13,22
AH,6,B,N,-21,1,8,13,22
AH,7,Y,S,-12,0,8,13,22
AH,8,R,N,0,1,8,13,22
AH,9,R,N,0,0,8,13,22
AH,10,B,S,-21,0,8,13,22
AH,11,Y,S,-12,0,8,13,22
