Participant,Direction,Slab,Acc
1,N,3,12
1,N,5,10
1,N,7,8
1,N,9,5
1,N,11,1
1,N,13,2
1,N,15,1
1,S,3,12
1,S,5,10
1,S,7,7
1,S,9,6
1,S,11,7
1,S,13,3
1,S,15,1
2,N,3,12
2,N,5,11
2,N,7,7
2,N,9,7
2,N,11,1
2,N,13,1
2,N,15,1
2,S,3,12
2,S,5,12
2,S,7,9
2,S,9,10
2,S,11,4
2,S,13,3
2,S,15,3
3,N,3,10
3,N,5,12
3,N,7,10
3,N,9,4
3,N,11,4
3,N,13,3
3,N,15,1
3,S,3,12
3,S,5,11
3,S,7,8
3,S,9,6
3,S,11,4
3,S,13,0
3,S,15,0
4,N,3,12
4,N,5,11
4,N,7,9
4,N,9,5
4,N,11,4
4,N,13,4
4,N,15,5
4,N,17,3
4,S,3,12
4,S,5,11
4,S,7,8
4,S,9,9
4,S,11,5
4,S,13,4
4,S,15,5
4,S,17,3
5,N,3,11
5,N,5,11
5,N,7,8
5,N,9,8
5,N,11,5
5,N,13,5
5,N,15,3
5,S,3,11
5,S,5,12
5,S,7,9
5,S,9,4
5,S,11,2
5,S,13,0
5,S,15,2
6,N,3,12
6,N,5,12
6,N,7,9
6,N,9,6
6,N,11,4
6,N,13,2
6,N,15,3
6,S,3,12
6,S,5,12
6,S,7,7
6,S,9,3
6,S,11,7
6,S,13,2
6,S,15,2
7,N,3,12
7,N,5,11
7,N,7,9
7,N,9,4
7,N,11,4
7,N,13,2
7,N,15,1
7,S,3,12
7,S,5,11
7,S,7,10
7,S,9,5
7,S,11,3
7,S,13,1
7,S,15,1
8,N,3,11
8,N,5,8
8,N,7,4
8,N,9,4
8,N,11,4
8,N,13,4
8,N,15,2
8,S,3,12
8,S,5,11
8,S,7,10
8,S,9,5
8,S,11,3
8,S,13,1
8,S,15,1
9,N,3,12
9,N,5,8
9,N,7,8
9,N,9,5
9,N,11,2
9,N,13,1
9,N,15,1
9,S,3,11
9,S,5,12
9,S,7,10
9,S,9,5
9,S,11,9
9,S,13,6
9,S,15,1
10,N,3,12
10,N,5,10
10,N,7,6
10,N,9,3
10,N,11,3
10,N,13,1
10,N,15,3
10,S,3,11
10,S,5,11
10,S,7,5
10,S,9,4
10,S,11,4
10,S,13,3
10,S,15,1
11,N,3,11
11,N,5,11
11,N,7,5
11,N,9,5
11,N,11,1
11,N,13,5
11,N,15,1
11,S,3,12
11,S,5,12
11,S,7,8
11,S,9,5
11,S,11,4
11,S,13,4
11,S,15,1
12,N,3,12
12,N,5,11
12,N,7,10
12,N,9,6
12,N,11,3
12,N,13,3
12,N,15,3
12,S,3,12
12,S,5,12
12,S,7,7
12,S,9,6
12,S,11,6
12,S,13,5
12,S,15,0
13,N,3,12
13,N,5,11
13,N,7,4
13,N,9,4
13,N,11,2
13,N,13,2
13,N,15,1
13,S,3,12
13,S,5,10
13,S,7,10
13,S,9,9
13,S,11,4
13,S,13,2
13,S,15,1
14,N,3,12
14,N,5,11
14,N,7,4
14,N,9,5
14,N,11,2
14,N,13,1
14,N,15,3
14,S,3,11
14,S,5,11
14,S,7,9
14,S,9,10
14,S,11,4
14,S,13,3
14,S,15,4
15,N,3,11
15,N,5,11
15,N,7,7
15,N,9,2
15,N,11,3
15,N,13,1
15,N,15,1
15,S,3,12
15,S,5,11
15,S,7,9
15,S,9,2
15,S,11,1
15,S,13,4
15,S,15,2
16,N,3,12
16,N,5,12
16,N,7,10
16,N,9,4
16,N,11,4
16,N,13,1
16,N,15,2
16,S,3,12
16,S,5,9
16,S,7,7
16,S,9,5
16,S,11,2
16,S,13,3
16,S,15,3
17,N,3,12
17,N,5,12
17,N,7,8
17,N,9,1
17,N,11,5
17,N,13,0
17,N,15,1
17,S,3,12
17,S,5,12
17,S,7,9
17,S,9,5
17,S,11,5
17,S,13,2
17,S,15,2
18,N,3,12
18,N,5,12
18,N,7,6
18,N,9,3
18,N,11,0
18,N,13,1
18,N,15,1
18,S,3,10
18,S,5,9
18,S,7,9
18,S,9,4
18,S,11,3
18,S,13,3
18,S,15,0
19,N,3,11
19,N,5,12
19,N,7,10
19,N,9,8
19,N,11,3
19,N,13,1
19,N,15,3
19,S,3,12
19,S,5,11
19,S,7,9
19,S,9,2
19,S,11,3
19,S,13,2
19,S,15,0
20,N,3,11
20,N,5,11
20,N,7,7
20,N,9,3
20,N,11,1
20,N,13,3
20,N,15,0
20,S,3,12
20,S,5,11
20,S,7,9
20,S,9,6
20,S,11,3
20,S,13,0
20,S,15,1
21,N,3,11
21,N,5,12
21,N,7,8
21,N,9,4
21,N,11,5
21,N,13,4
21,N,15,3
21,S,3,12
21,S,5,12
21,S,7,10
21,S,9,10
21,S,11,4
21,S,13,4
21,S,15,3
22,N,3,12
22,N,5,10
22,N,7,6
22,N,9,2
22,N,11,5
22,N,13,1
22,N,15,2
22,S,3,12
22,S,5,11
22,S,7,8
22,S,9,4
22,S,11,3
22,S,13,5
22,S,15,2
23,N,3,12
23,N,5,9
23,N,7,8
23,N,9,5
23,N,11,4
23,N,13,2
23,N,15,2
23,S,3,12
23,S,5,12
23,S,7,10
23,S,9,7
23,S,11,7
23,S,13,7
23,S,15,1
24,N,3,12
24,N,5,12
24,N,7,7
24,N,9,7
24,N,11,4
24,N,13,2
24,N,15,1
24,S,3,12
24,S,5,12
24,S,7,10
24,S,9,5
24,S,11,3
24,S,13,0
24,S,15,4
