Participant	Direction	Distance	Accuracy	Session
1	S	3	12	1
1	S	7	9	1
1	S	11	7	1
1	S	15	3	1
1	N	5	11	1
1	N	9	9	1
1	N	13	6	1
1	N	19	1	1
1	S	3	12	2
1	S	7	10	2
1	S	11	6	2
1	S	15	2	2
1	N	5	12	2
1	N	9	9	2
1	N	13	5	2
1	N	19	0	2
2	S	3	12	1
2	S	7	8	1
2	S	11	3	1
2	S	15	0	1
2	N	5	11	1
2	N	9	8	1
2	N	13	1	1
2	N	19	0	1
2	S	3	12	2
2	S	7	9	2
2	S	11	3	2
2	S	15	0	2
2	N	5	10	2
2	N	9	8	2
2	N	13	2	2
2	N	19	0	2
3	S	3	11	1
3	S	7	7	1
3	S	11	5	1
3	S	15	0	1
3	N	5	10	1
3	N	9	7	1
3	N	13	3	1
3	N	19	0	1
3	S	3	12	2
3	S	7	7	2
3	S	11	4	2
3	S	15	0	2
3	N	5	11	2
3	N	9	6	2
3	N	13	2	2
3	N	19	0	2
4	S	3	12	1
4	S	7	6	1
4	S	11	2	1
4	S	15	0	1
4	N	5	11	1
4	N	9	4	1
4	N	13	0	1
4	N	19	0	1
4	S	3	12	2
4	S	7	7	2
4	S	11	4	2
4	S	15	0	2
4	N	5	11	2
4	N	9	5	2
4	N	13	1	2
4	N	19	0	2
5	S	3	12	1
5	S	7	8	1
5	S	11	0	1
5	S	15	1	1
5	N	5	10	1
5	N	9	5	1
5	N	13	3	1
5	N	19	0	1
5	S	3	12	2
5	S	7	8	2
5	S	11	4	2
5	S	15	0	2
5	N	5	10	2
5	N	9	6	2
5	N	13	2	2
5	N	19	0	2
6	S	3	12	1
6	S	7	10	1
6	S	11	5	1
6	S	15	2	1
6	N	5	11	1
6	N	9	10	1
6	N	13	4	1
6	N	19	1	1
6	S	3	12	2
6	S	7	9	2
6	S	11	5	2
6	S	15	2	2
6	N	5	10	2
6	N	9	10	2
6	N	13	3	2
6	N	19	1	2
7	S	4	11	1
7	S	7	4	1
7	S	11	4	1
7	S	15	1	1
7	N	5	9	1
7	N	9	5	1
7	N	13	5	1
7	N	19	1	1
7	S	3	12	2
7	S	7	8	2
7	S	11	4	2
7	S	15	0	2
7	N	5	12	2
7	N	9	7	2
7	N	13	1	2
7	N	19	0	2
8	S	3	11	1
8	S	7	6	1
8	S	11	3	1
8	S	15	0	1
8	N	5	10	1
8	N	9	5	1
8	N	13	2	1
8	N	19	2	1
8	S	3	12	2
8	S	7	7	2
8	S	11	3	2
8	S	15	1	2
8	N	5	11	2
8	N	9	3	2
8	N	13	1	2
8	N	19	0	2
9	S	3	11	1
9	S	7	2	1
9	S	11	0	1
9	S	15	0	1
9	N	5	10	1
9	N	9	3	1
9	N	13	1	1
9	N	19	0	1
9	S	3	12	2
9	S	7	4	2
9	S	11	1	2
9	S	15	0	2
9	N	5	10	2
9	N	9	3	2
9	N	13	0	2
9	N	19	0	2
10	S	3	12	1
10	S	7	9	1
10	S	11	4	1
10	S	15	1	1
10	N	5	11	1
10	N	9	7	1
10	N	13	3	1
10	N	19	1	1
10	S	3	12	2
10	S	7	10	2
10	S	11	3	2
10	S	15	0	2
10	N	5	12	2
10	N	9	9	2
10	N	13	2	2
10	N	19	0	2
11	S	3	11	1
11	S	7	3	1
11	S	11	0	1
11	S	15	0	1
11	N	5	7	1
11	N	9	1	1
11	N	13	0	1
11	N	19	0	1
11	S	3	12	2
11	S	7	2	2
11	S	11	0	2
11	S	15	0	2
11	N	5	9	2
11	N	9	2	2
11	N	13	0	2
11	N	19	0	2
12	S	3	12	1
12	S	7	6	1
12	S	11	4	1
12	S	15	1	1
12	N	5	12	1
12	N	9	5	1
12	N	13	2	1
12	N	19	0	1
12	S	3	10	2
12	S	7	7	2
12	S	11	3	2
12	S	15	0	2
12	N	5	9	2
12	N	9	5	2
12	N	13	1	2
12	N	19	0	2
13	S	3	12	1
13	S	7	6	1
13	S	11	4	1
13	S	15	0	1
13	N	5	11	1
13	N	9	6	1
13	N	13	3	1
13	N	19	0	1
13	S	3	11	2
13	S	7	7	2
13	S	11	3	2
13	S	15	0	2
13	N	5	10	2
13	N	9	6	2
13	N	13	2	2
13	N	19	0	2
14	S	3	11	1
14	S	7	5	1
14	S	11	3	1
14	S	15	2	1
14	N	5	10	1
14	N	9	4	1
14	N	13	1	1
14	N	19	0	1
14	S	3	10	2
14	S	7	6	2
14	S	11	3	2
14	S	15	1	2
14	N	5	9	2
14	N	9	5	2
14	N	13	0	2
14	N	19	0	2
15	S	3	12	1
15	S	7	6	1
15	S	11	3	1
15	S	15	0	1
15	N	5	9	1
15	N	9	4	1
15	N	13	1	1
15	N	19	0	1
15	S	3	12	2
15	S	7	8	2
15	S	11	4	2
15	S	15	0	2
15	N	5	10	2
15	N	9	7	2
15	N	13	2	2
15	N	19	0	2
16	S	3	9	1
16	S	7	4	1
16	S	11	1	1
16	S	15	0	1
16	N	5	7	1
16	N	9	2	1
16	N	13	0	1
16	N	19	0	1
16	S	3	10	2
16	S	7	4	2
16	S	11	0	2
16	S	15	0	2
16	N	5	8	2
16	N	9	9	2
16	N	13	0	2
16	N	19	0	2
17	S	3	12	1
17	S	7	10	1
