person	Trial	Color	Direction	Subject Position (0-40)	Accuracy (0 OR 1)	condition
1	1	Y	S	0	0	sudoku
1	2	B	S	13	1	sudoku
1	3	B	S	-13	0	sudoku
1	4	G	N	0	1	sudoku
1	5	R	N	0	1	sudoku
1	6	G	N	0	0	sudoku
1	7	Y	S	-13	0	sudoku
1	8	Y	N	-9	1	sudoku
1	9	R	S	0	1	sudoku
1	10	B	N	13	0	sudoku
1	11	Y	S	0	0	sudoku
1	12	G	N	0	1	sudoku
1	13	Y	S	-9	0	sudoku
1	14	R	N	0	1	sudoku
1	15	B	S	13	1	sudoku
1	16	B	S	-13	0	sudoku
1	17	R	S	0	1	sudoku
1	18	G	N	0	0	sudoku
1	19	R	S	0	1	sudoku
1	20	Y	N	9	1	sudoku
1	21	B	N	-13	1	sudoku
1	22	G	S	0	1	sudoku
1	23	B	N	13	0	sudoku
1	24	R	N	0	1	sudoku
1	25	R	S	0	1	sudoku
1	26	Y	N	0	0	sudoku
1	27	G	S	0	1	sudoku
1	28	B	S	-13	0	sudoku
1	29	B	N	13	1	sudoku
1	30	R	N	0	1	sudoku
1	31	Y	N	9	0	sudoku
1	32	Y	S	-9	0	sudoku
1	33	G	S	0	0	sudoku
1	34	Y	N	9	0	sudoku
1	35	R	S	0	1	sudoku
1	36	B	S	-13	0	sudoku
1	37	G	N	0	1	sudoku
1	38	B	S	13	1	sudoku
1	39	R	S	0	1	sudoku
1	40	Y	N	-9	1	sudoku
1	41	G	S	0	1	sudoku
1	42	B	S	13	0	sudoku
1	43	Y	N	0	0	sudoku
1	44	B	N	-13	1	sudoku
1	45	G	N	0	1	sudoku
1	46	R	S	0	0	sudoku
1	47	R	S	0	1	sudoku
1	48	B	N	13	0	sudoku
2	1	G	S	0	1	sudoku
2	2	G	S	0	1	sudoku
2	3	Y	N	0	0	sudoku
2	4	R	S	0	1	sudoku
2	5	Y	N	0	0	sudoku
2	6	B	S	0	0	sudoku
2	7	G	S	0	1	sudoku
2	8	R	S	0	1	sudoku
2	9	R	N	0	1	sudoku
2	10	Y	N	0	0	sudoku
2	11	B	N	0	0	sudoku
2	12	G	N	0	1	sudoku
2	13	B	N	0	0	sudoku
2	14	R	N	0	1	sudoku
2	15	Y	N	0	0	sudoku
