Participant,Order,Centre,Middle,Edge,Trial number,N/S,Hoop dist,Participant pos,hit/miss
1,1,1,1,1,1,1,13,0,1
1,1,1,1,1,2,2,5,0,1
1,1,1,1,1,3,2,5,0,0
1,1,1,1,1,4,1,9,0,1
1,1,1,1,1,5,1,13,0,0
1,1,1,1,1,6,2,9,0,0
1,1,1,1,1,7,1,13,0,0
1,1,1,1,1,8,2,9,0,0
1,1,1,1,1,9,1,5,0,1
1,1,1,1,1,10,1,9,0,1
1,1,1,1,1,11,1,13,0,0
1,1,1,1,1,12,2,5,0,1
1,1,1,1,1,13,1,9,0,1
1,1,1,1,1,14,2,13,0,0
1,1,1,1,1,15,2,5,0,1
1,1,1,1,1,16,1,13,0,0
1,1,1,1,1,17,1,5,0,1
1,1,1,1,1,18,1,9,0,0
1,1,1,1,1,19,2,5,0,1
1,1,1,1,1,20,2,13,0,1
1,1,1,1,1,21,1,13,0,0
1,1,1,1,1,22,1,5,0,1
1,1,1,1,1,23,1,5,0,1
1,1,1,1,1,24,1,9,0,0
1,1,1,1,1,25,2,9,0,1
1,1,1,1,1,26,1,13,0,1
1,1,1,1,1,27,1,9,0,0
1,1,1,1,1,28,2,9,0,0
1,1,1,1,1,29,2,13,0,1
1,1,1,1,1,30,1,13,0,0
1,1,1,1,1,31,1,9,0,0
1,1,1,1,1,32,2,5,0,1
1,1,1,1,1,33,1,5,0,1
1,1,1,1,1,34,2,13,0,1
1,1,1,1,1,35,1,9,0,1
1,1,1,1,1,36,1,5,0,1
1,1,1,1,1,37,2,9,0,0
1,1,1,1,1,38,2,5,0,1
1,1,1,1,1,39,2,5,0,1
1,1,1,1,1,40,1,13,0,0
1,1,1,1,1,41,2,13,0,0
1,1,1,1,1,42,1,9,0,0
1,1,1,1,1,43,2,5,0,0
1,1,1,1,1,44,1,9,0,0
1,1,1,1,1,45,2,13,0,0
2,0,0,0,0,1,2,5,4,1
2,0,0,0,0,2,2,13,0,0
2,0,0,0,0,3,1,9,-3,1
2,0,0,0,0,4,2,9,2,1
2,0,0,0,0,5,2,9,1,0
2,0,0,0,0,6,2,13,0,0
2,0,0,0,0,7,2,5,0,1
2,0,0,0,0,8,1,5,0,1
2,0,0,0,0,9,2,13,-2,1
2,0,0,0,0,10,1,5,0,1
2,0,0,0,0,11,2,9,-2,0
2,0,0,0,0,12,1,13,0,0
2,0,0,0,0,13,1,5,0,1
2,0,0,0,0,14,2,5,0,1
2,0,0,0,0,15,2,13,1,0
2,0,0,0,0,16,2,13,0,0
2,0,0,0,0,17,2,9,0,0
2,0,0,0,0,18,2,9,0,0
2,0,0,0,0,19,1,5,0,1
2,0,0,0,0,20,1,5,0,1
2,0,0,0,0,21,1,13,0,0
2,0,0,0,0,22,2,13,0,1
2,0,0,0,0,23,2,13,0,0
2,0,0,0,0,24,1,9,0,0
2,0,0,0,0,25,2,9,1,1
2,0,0,0,0,26,1,5,0,1
2,0,0,0,0,27,1,9,-1,0
2,0,0,0,0,28,2,13,-1,0
2,0,0,0,0,29,1,5,0,1
2,0,0,0,0,30,2,9,1,1
2,0,0,0,0,31,2,5,-1,1
2,0,0,0,0,32,1,5,0,1
2,0,0,0,0,33,2,13,1,0
2,0,0,0,0,34,2,9,0,1
2,0,0,0,0,35,1,13,-1,1
2,0,0,0,0,36,1,9,0,1
2,0,0,0,0,37,1,5,0,1
2,0,0,0,0,38,1,13,0,1
2,0,0,0,0,39,1,5,0,1
2,0,0,0,0,40,2,9,1,0
2,0,0,0,0,41,2,5,0,1
2,0,0,0,0,42,2,9,0,1
2,0,0,0,0,43,1,13,0,0
2,0,0,0,0,44,1,9,0,0
2,0,0,0,0,45,1,13,0,0
3,0,0,0,0,1,1,9,8,0
3,0,0,0,0,2,2,5,0,1
