"participant"	"Vis_Degs"	"half"	"condition"	"mean_acc"	"acc_type"
"10"	5.92361499528803	"first"	"No_instructions"	0.857142857142857	"Actual"
"10"	5.92361499528803	"second"	"No_instructions"	0.971428571428571	"Actual"
"10"	6.98439623888503	"first"	"No_instructions"	0.787878787878788	"Actual"
"10"	6.98439623888503	"second"	"No_instructions"	0.918918918918919	"Actual"
"10"	8.07423481543505	"first"	"No_instructions"	0.875	"Actual"
"10"	8.07423481543505	"second"	"No_instructions"	0.945945945945946	"Actual"
"10"	8.61861830002437	"first"	"No_instructions"	0.75	"Actual"
"10"	8.61861830002437	"second"	"No_instructions"	0.935483870967742	"Actual"
"10"	9.13240104890675	"first"	"No_instructions"	0.8	"Actual"
"10"	9.13240104890675	"second"	"No_instructions"	0.916666666666667	"Actual"
"10"	10.2191730017744	"first"	"No_instructions"	0.657142857142857	"Actual"
"10"	10.2191730017744	"second"	"No_instructions"	0.566666666666667	"Actual"
"10"	11.2739944705171	"first"	"No_instructions"	0.727272727272727	"Actual"
"10"	11.2739944705171	"second"	"No_instructions"	0.612903225806452	"Actual"
"10"	12.3569559880831	"first"	"No_instructions"	0.371428571428571	"Actual"
"10"	12.3569559880831	"second"	"No_instructions"	0.676470588235294	"Actual"
"10"	19.2750762258619	"first"	"No_instructions"	0.527777777777778	"Actual"
"10"	19.2750762258619	"second"	"No_instructions"	0.625	"Actual"
"11"	2.06728849639045	"first"	"Instructions"	0.941176470588235	"Actual"
"11"	2.06728849639045	"second"	"Instructions"	0.966666666666667	"Actual"
"11"	3.13089449084029	"first"	"Instructions"	1	"Actual"
"11"	3.13089449084029	"second"	"Instructions"	0.971428571428571	"Actual"
"11"	4.2243247815248	"first"	"Instructions"	0.882352941176471	"Actual"
"11"	4.2243247815248	"second"	"Instructions"	0.948717948717949	"Actual"
"11"	5.28664648307508	"first"	"Instructions"	0.882352941176471	"Actual"
"11"	5.28664648307508	"second"	"Instructions"	0.805555555555556	"Actual"
"11"	6.37837059290144	"first"	"Instructions"	0.771428571428571	"Actual"
"11"	6.37837059290144	"second"	"Instructions"	0.894736842105263	"Actual"
"11"	7.46893689837142	"first"	"Instructions"	0.805555555555556	"Actual"
"11"	7.46893689837142	"second"	"Instructions"	0.82051282051282	"Actual"
"11"	8.52791411433207	"first"	"Instructions"	0.783783783783784	"Actual"
"11"	8.52791411433207	"second"	"Instructions"	0.75	"Actual"
"11"	8.61861830002437	"first"	"Instructions"	0.783783783783784	"Actual"
"11"	8.61861830002437	"second"	"Instructions"	0.794117647058823	"Actual"
"11"	19.2750762258619	"first"	"Instructions"	0.814814814814815	"Actual"
"11"	19.2750762258619	"second"	"Instructions"	0.615384615384615	"Actual"
"12"	3.40431331816549	"first"	"No_instructions"	0.916666666666667	"Actual"
"12"	3.40431331816549	"second"	"No_instructions"	0.8	"Actual"
"12"	4.49756992965304	"first"	"No_instructions"	0.903225806451613	"Actual"
"12"	4.49756992965304	"second"	"No_instructions"	0.875	"Actual"
"12"	5.55967532169865	"first"	"No_instructions"	0.826086956521739	"Actual"
"12"	5.55967532169865	"second"	"No_instructions"	0.724137931034483	"Actual"
"12"	6.65112836778944	"first"	"No_instructions"	0.724137931034483	"Actual"
"12"	6.65112836778944	"second"	"No_instructions"	0.681818181818182	"Actual"
"12"	7.74137464334269	"first"	"No_instructions"	0.608695652173913	"Actual"
"12"	7.74137464334269	"second"	"No_instructions"	0.793103448275862	"Actual"
"12"	8.61861830002437	"first"	"No_instructions"	0.741935483870968	"Actual"
"12"	8.61861830002437	"second"	"No_instructions"	0.724137931034483	"Actual"
"12"	8.79999410289425	"first"	"No_instructions"	0.636363636363636	"Actual"
"12"	8.79999410289425	"second"	"No_instructions"	0.866666666666667	"Actual"
"12"	9.88729021711115	"first"	"No_instructions"	0.689655172413793	"Actual"
"12"	9.88729021711115	"second"	"No_instructions"	0.727272727272727	"Actual"
"12"	19.2750762258619	"first"	"No_instructions"	0.617647058823529	"Actual"
"12"	19.2750762258619	"second"	"No_instructions"	0.666666666666667	"Actual"
"13"	3.76881091199951	"first"	"Instructions"	0.967741935483871	"Actual"
"13"	3.76881091199951	"second"	"Instructions"	0.964285714285714	"Actual"
"13"	4.86181667408081	"first"	"Instructions"	0.935483870967742	"Actual"
"13"	4.86181667408081	"second"	"Instructions"	0.851851851851852	"Actual"
"13"	5.92361499528803	"first"	"Instructions"	0.939393939393939	"Actual"
"13"	5.92361499528803	"second"	"Instructions"	0.925925925925926	"Actual"
"13"	7.01468753785814	"first"	"Instructions"	0.805555555555556	"Actual"
"13"	7.01468753785814	"second"	"Instructions"	0.787878787878788	"Actual"
"13"	8.10448814935123	"first"	"Instructions"	0.641025641025641	"Actual"
"13"	8.10448814935123	"second"	"Instructions"	0.714285714285714	"Actual"
"13"	8.61861830002437	"first"	"Instructions"	0.815789473684211	"Actual"
"13"	8.61861830002437	"second"	"Instructions"	0.777777777777778	"Actual"
"13"	9.16261231088515	"first"	"Instructions"	0.789473684210526	"Actual"
"13"	9.16261231088515	"second"	"Instructions"	0.586206896551724	"Actual"
"13"	10.2493357263179	"first"	"Instructions"	0.8	"Actual"
"13"	10.2493357263179	"second"	"Instructions"	0.647058823529412	"Actual"
"13"	19.2750762258619	"first"	"Instructions"	0.823529411764706	"Actual"
"13"	19.2750762258619	"second"	"Instructions"	0.529411764705882	"Actual"
"14"	4.43685309817014	"first"	"No_instructions"	0.769230769230769	"Actual"
"14"	4.43685309817014	"second"	"No_instructions"	0.96551724137931	"Actual"
"14"	5.5293418467264	"first"	"No_instructions"	0.739130434782609	"Actual"
"14"	5.5293418467264	"second"	"No_instructions"	0.827586206896552	"Actual"
"14"	6.62082561733784	"first"	"No_instructions"	0.84	"Actual"
"14"	6.62082561733784	"second"	"No_instructions"	0.793103448275862	"Actual"
"14"	7.68084038734382	"first"	"No_instructions"	0.866666666666667	"Actual"
"14"	7.68084038734382	"second"	"No_instructions"	0.823529411764706	"Actual"
"14"	8.61861830002437	"first"	"No_instructions"	0.818181818181818	"Actual"
"14"	8.61861830002437	"second"	"No_instructions"	0.90625	"Actual"
"14"	8.76976784558692	"first"	"No_instructions"	0.75	"Actual"
"14"	8.76976784558692	"second"	"No_instructions"	0.885714285714286	"Actual"
"14"	9.82692985884999	"first"	"No_instructions"	0.794117647058823	"Actual"
"14"	9.82692985884999	"second"	"No_instructions"	0.647058823529412	"Actual"
"14"	10.9125481900213	"first"	"No_instructions"	0.727272727272727	"Actual"
"14"	10.9125481900213	"second"	"No_instructions"	0.852941176470588	"Actual"
"14"	19.2750762258619	"first"	"No_instructions"	0.814814814814815	"Actual"
"14"	19.2750762258619	"second"	"No_instructions"	0.771428571428571	"Actual"
"15"	4.64935088054167	"first"	"Instructions"	0.972222222222222	"Actual"
"15"	4.64935088054167	"second"	"Instructions"	0.962962962962963	"Actual"
"15"	5.71133091610219	"first"	"Instructions"	0.971428571428571	"Actual"
"15"	5.71133091610219	"second"	"Instructions"	1	"Actual"
"15"	6.80262806765538	"first"	"Instructions"	0.833333333333333	"Actual"
"15"	6.80262806765538	"second"	"Instructions"	0.939393939393939	"Actual"
"15"	7.86243014136901	"first"	"Instructions"	0.641025641025641	"Actual"
"15"	7.86243014136901	"second"	"Instructions"	0.714285714285714	"Actual"
"15"	8.61861830002437	"first"	"Instructions"	0.694444444444444	"Actual"
"15"	8.61861830002437	"second"	"Instructions"	0.8	"Actual"
"15"	8.95110690316547	"first"	"Instructions"	0.810810810810811	"Actual"
"15"	8.95110690316547	"second"	"Instructions"	0.6	"Actual"
"15"	10.0079944015517	"first"	"Instructions"	0.805555555555556	"Actual"
"15"	10.0079944015517	"second"	"Instructions"	0.724137931034483	"Actual"
"15"	11.0932990087521	"first"	"Instructions"	0.735294117647059	"Actual"
"15"	11.0932990087521	"second"	"Instructions"	0.730769230769231	"Actual"
"15"	19.2750762258619	"first"	"Instructions"	0.742857142857143	"Actual"
"15"	19.2750762258619	"second"	"Instructions"	0.481481481481481	"Actual"
"16"	2.55356363233729	"first"	"No_instructions"	0.896551724137931	"Actual"
"16"	2.55356363233729	"second"	"No_instructions"	1	"Actual"
"16"	3.64731982608496	"first"	"No_instructions"	0.733333333333333	"Actual"
"16"	3.64731982608496	"second"	"No_instructions"	0.90625	"Actual"
"16"	4.71005872072601	"first"	"No_instructions"	0.8125	"Actual"
"16"	4.71005872072601	"second"	"No_instructions"	0.783783783783784	"Actual"
"16"	5.80231469650174	"first"	"No_instructions"	0.793103448275862	"Actual"
"16"	5.80231469650174	"second"	"No_instructions"	0.757575757575758	"Actual"
"16"	6.89351649472703	"first"	"No_instructions"	0.612903225806452	"Actual"
"16"	6.89351649472703	"second"	"No_instructions"	0.696969696969697	"Actual"
"16"	7.95321024653925	"first"	"No_instructions"	0.62962962962963	"Actual"
"16"	7.95321024653925	"second"	"No_instructions"	0.78125	"Actual"
"16"	8.61861830002437	"first"	"No_instructions"	0.766666666666667	"Actual"
"16"	8.61861830002437	"second"	"No_instructions"	0.636363636363636	"Actual"
"16"	9.04175964570607	"first"	"No_instructions"	0.705882352941177	"Actual"
"16"	9.04175964570607	"second"	"No_instructions"	0.857142857142857	"Actual"
"16"	19.2750762258619	"first"	"No_instructions"	0.642857142857143	"Actual"
"16"	19.2750762258619	"second"	"No_instructions"	0.588235294117647	"Actual"
"17"	3.76881091199951	"first"	"Instructions"	1	"Actual"
"17"	3.76881091199951	"second"	"Instructions"	0.972972972972973	"Actual"
"17"	4.83146643145461	"first"	"Instructions"	0.972222222222222	"Actual"
"17"	4.83146643145461	"second"	"Instructions"	1	"Actual"
"17"	5.92361499528803	"first"	"Instructions"	0.888888888888889	"Actual"
"17"	5.92361499528803	"second"	"Instructions"	0.947368421052632	"Actual"
"17"	6.98439623888503	"first"	"Instructions"	0.82051282051282	"Actual"
"17"	6.98439623888503	"second"	"Instructions"	0.911764705882353	"Actual"
"17"	8.07423481543505	"first"	"Instructions"	0.741935483870968	"Actual"
"17"	8.07423481543505	"second"	"Instructions"	0.756756756756757	"Actual"
"17"	8.61861830002437	"first"	"Instructions"	0.78125	"Actual"
"17"	8.61861830002437	"second"	"Instructions"	0.722222222222222	"Actual"
"17"	9.13240104890675	"first"	"Instructions"	0.75	"Actual"
"17"	9.13240104890675	"second"	"Instructions"	0.8	"Actual"
"17"	10.2191730017744	"first"	"Instructions"	0.857142857142857	"Actual"
"17"	10.2191730017744	"second"	"Instructions"	0.527777777777778	"Actual"
"17"	19.2750762258619	"first"	"Instructions"	0.722222222222222	"Actual"
"17"	19.2750762258619	"second"	"Instructions"	0.5	"Actual"
"18"	7.49921199134686	"first"	"No_instructions"	0.911764705882353	"Actual"
"18"	7.49921199134686	"second"	"No_instructions"	0.833333333333333	"Actual"
"18"	8.58838476804932	"first"	"No_instructions"	0.833333333333333	"Actual"
"18"	8.58838476804932	"second"	"No_instructions"	0.72972972972973	"Actual"
"18"	8.61861830002437	"first"	"No_instructions"	0.90625	"Actual"
"18"	8.61861830002437	"second"	"No_instructions"	0.735294117647059	"Actual"
"18"	9.64581611293034	"first"	"No_instructions"	0.771428571428571	"Actual"
"18"	9.64581611293034	"second"	"No_instructions"	0.727272727272727	"Actual"
"18"	10.7317428887178	"first"	"No_instructions"	0.65625	"Actual"
"18"	10.7317428887178	"second"	"No_instructions"	0.684210526315789	"Actual"
"18"	11.8157399947831	"first"	"No_instructions"	0.65625	"Actual"
"18"	11.8157399947831	"second"	"No_instructions"	0.756756756756757	"Actual"
"18"	12.8675971759135	"first"	"No_instructions"	0.727272727272727	"Actual"
"18"	12.8675971759135	"second"	"No_instructions"	0.588235294117647	"Actual"
"18"	13.947238738933	"first"	"No_instructions"	0.583333333333333	"Actual"
"18"	13.947238738933	"second"	"No_instructions"	0.625	"Actual"
"18"	19.2750762258619	"first"	"No_instructions"	0.636363636363636	"Actual"
"18"	19.2750762258619	"second"	"No_instructions"	0.558823529411765	"Actual"
"19"	2.55356363233729	"first"	"Instructions"	0.956521739130435	"Actual"
"19"	2.55356363233729	"second"	"Instructions"	1	"Actual"
"19"	3.64731982608496	"first"	"Instructions"	1	"Actual"
"19"	3.64731982608496	"second"	"Instructions"	1	"Actual"
"19"	4.71005872072601	"first"	"Instructions"	0.96551724137931	"Actual"
"19"	4.71005872072601	"second"	"Instructions"	0.970588235294118	"Actual"
"19"	5.80231469650174	"first"	"Instructions"	0.962962962962963	"Actual"
"19"	5.80231469650174	"second"	"Instructions"	0.972972972972973	"Actual"
"19"	6.89351649472703	"first"	"Instructions"	0.730769230769231	"Actual"
"19"	6.89351649472703	"second"	"Instructions"	0.794117647058823	"Actual"
"19"	7.95321024653925	"first"	"Instructions"	0.619047619047619	"Actual"
"19"	7.95321024653925	"second"	"Instructions"	0.657894736842105	"Actual"
"19"	8.61861830002437	"first"	"Instructions"	0.576923076923077	"Actual"
"19"	8.61861830002437	"second"	"Instructions"	0.75	"Actual"
"19"	9.04175964570607	"first"	"Instructions"	0.909090909090909	"Actual"
